name,sid,zipcode,household,age,gender,address
Frona,14716,33134,4,22,F,"5503 W Flagler St, Coral Gables, FL 33134, USA"
Georgina,1072,33186,2,25,F,"10715 SW 139th Ct, Miami, FL 33186, USA"
Hessie,7349,33018,4,19,F,"3121 W 81st St, Hialeah, FL 33018, USA"
Irena,7442,33166,4,24,F,"360 S Melrose Dr, Miami Springs, FL 33166, USA"
Josiephine,3361,33170,2,21,F,"22651 SW 157th Ave, Miami, FL 33170, USA"
Aura,15834,33174,2,25,F,"9021 SW 12th St, Miami, FL 33174, USA"
Jossie,7445,33025,2,23,F,"2243 SW 104th Ave, Miramar, FL 33025, USA"
Juana,12178,33027,1,18,F,"1616 SW 149th Ave, Pembroke Pines, FL 33027, USA"
Lonnie,15802,33176,2,21,F,"10860 SW 106th Ave, Miami, FL 33176, USA"
Louis,8147,33026,4,23,F,"11201 NW 16th Ct, Pembroke Pines, FL 33026, USA"
Louvenia,14650,33158,3,21,F,"7690 SW 139th St, Palmetto Bay, FL 33158, USA"
Nealie,3960,33178,4,24,F,"11259 NW 58th Terrace, Doral, FL 33178, USA"
Nita,9678,33013,2,18,F,"536 E 59th St, Hialeah, FL 33013, USA"
Ottie,8630,33327,4,25,F,"2528 Monterey Ct, Weston, FL 33327, USA"
Ottilie,8291,33193,2,18,F,"15891 SW 76th St, Miami, FL 33193, USA"
Simona,2226,33324,4,25,F,"461 NW 110th Ave, Plantation, FL 33324, USA"
Tessie,2155,33187,3,24,F,"19201 SW 176th St, Miami, FL 33187, USA"
Thora,11060,33135,4,19,F,"900 SW 16th Ave, Miami, FL 33135, USA"
Alda,12795,33166,1,19,F,"1150 Dove Ave, Miami Springs, FL 33166, USA"
Alicia,2386,33122,2,25,F,"3337 NW 82nd Ave, Doral, FL 33122, USA"
Rachael,15670,33183,3,21,F,"6610 SW 122nd Ave, Miami, FL 33183, USA"
Lollie,9876,33186,2,23,F,"13820 SW 132nd Ave, Miami, FL 33186, USA"
Dorathea,1479,33155,4,25,F,"7445 SW 38th St, Miami, FL 33155, USA"
Edward,9044,33176,2,22,F,"1973 SW 104th St, Miami, FL 33176, USA"
Eldora,1242,33143,2,22,F,"6030 SW 79th St, South Miami, FL 33143, USA"
Elenor,11455,33027,1,20,F,"1500 SW 134th Way, Pembroke Pines, FL 33027, USA"
Elinor,9533,33177,4,24,F,"19702 SW 117th Ct, Miami, FL 33177, USA"
Elmina,14186,33031,2,21,F,"15720 SW 272nd St, Homestead, FL 33031, USA"
Elvina,8536,33016,4,19,F,"8316 Dundee Terrace, Hialeah, FL 33016, USA"
Erie,11589,33170,2,23,F,"15205 SW 216th St, Miami, FL 33170, USA"
Euphemia,16019,33012,4,24,F,"317 W 35th St, Hialeah, FL 33012, USA"
Evaline,1948,33013,3,24,F,"91 E 38th St, Hialeah, FL 33013, USA"
Glennie,1193,33055,4,22,F,"4901 NW 191st St, Miami Gardens, FL 33055, USA"
Gretchen,1087,33330,2,20,F,"4820 SW 134th Ave, Southwest Ranches, FL 33330, USA"
Icy,3666,33313,2,22,F,"4360 NW 16th St, Lauderhill, FL 33313, USA"
Iris,9358,33143,1,19,F,"7441 SW 74th Ave, Miami, FL 33143, USA"
Jeanie,12401,33173,3,18,F,"7500 SW 98th Ct, Miami, FL 33173, USA"
Leda,2830,33034,4,25,F,"660 NW 14th St, Florida City, FL 33034, USA"
Leslie,13961,33177,2,25,F,"19686 SW 130 Avenue Rd, Miami, FL 33177, USA"
Lesta,843,33183,2,24,F,"7840 SW 136th Ct, Miami, FL 33183, USA"
Levina,3001,33055,2,18,F,"4950 NW 181st Terrace, Miami Gardens, FL 33055, USA"
Courtney,9529,33161,2,20,F,"14701 NE 2nd Ct, Miami, FL 33161, USA"
Luvenia,15548,33144,2,19,F,"1021 SW 71st Ave, Miami, FL 33144, USA"
Martina,15761,33025,4,21,F,"910 SW 113th Ln, Pembroke Pines, FL 33025, USA"
Missie,3480,33194,2,18,F,"1436 SW 154th Ave, Miami, FL 33194, USA"
Nelly,6134,33178,3,20,F,"6970 NW 97th Ave, Doral, FL 33178, USA"
Omie,111,33012,2,24,F,"4226 W 20th Ave, Hialeah, FL 33012, USA"
Parthenia,15045,33173,1,25,F,"8708 SW 103rd Ave, Miami, FL 33173, USA"
Liddie,5949,33175,3,18,F,"13211 SW 48th St, Miami, FL 33175, USA"
Tressa,13490,33066,4,20,F,"1903 Bermuda Cir, Coconut Creek, FL 33066, USA"
Vannie,1082,33331,1,18,F,"4424 Fox Ridge Dr, Weston, FL 33331, USA"
Vena,7545,33157,3,23,F,"11400 SW 191st Terrace, Miami, FL 33157, USA"
Venie,15021,33178,4,22,F,"10360 NW 68th Terrace, Doral, FL 33178, USA"
Arline,9472,33177,4,18,F,"20774 SW 129th Ave, Miami, FL 33177, USA"
Attie,6065,33167,3,24,F,"1525 NW 113 Terrace, Miami, FL 33167, USA"
Beatrix,2405,33126,3,18,F,"6966 NW 12th St, Miami, FL 33126, USA"
Rhea,15060,33196,4,18,F,"15809 SW 99th Terrace, Miami, FL 33196, USA"
Jewel,7323,33184,4,18,F,"1070 SW 143rd Pl, Miami, FL 33184, USA"
Valeria,4876,33176,4,22,F,"10700 SW 88th St, Miami, FL 33176, USA"
Lydia,294,33143,3,19,F,"7890 SW 57th Terrace, Miami, FL 33143, USA"
Emily,4248,33183,1,22,F,"6530 Kendale Lakes Dr, Miami, FL 33183, USA"
Viola,5954,33183,2,20,F,"7201 SW 130th Ave, Miami, FL 33183, USA"
Olive,10781,33016,2,25,F,"14374 Commerce Way, Miami Lakes, FL 33016, USA"
Addie,8661,33012,2,25,F,"1652 W 42nd Pl, Hialeah, FL 33012, USA"
Charlotte,9383,33183,4,19,F,"11879 SW 72nd Terrace, Miami, FL 33183, USA"
Kate,3869,33187,2,20,F,"14700 SW 208th St, Miami, FL 33187, USA"
Kathryn,5337,33186,4,24,F,"13807 SW 142nd Ave, Miami, FL 33186, USA"
Lulu,9026,33143,2,21,F,"8701 SW 86th Ct, Miami, FL 33143, USA"
Amanda,14416,33330,3,25,F,"14195 Old Sheridan St, Southwest Ranches, FL 33330, USA"
Willie,9800,33125,2,22,F,"470 NW 23rd Pl, Miami, FL 33125, USA"
Irene,15589,33158,1,19,F,"14890 SW 76th Ct, Palmetto Bay, FL 33158, USA"
Amelia,9288,33030,3,25,F,"28550 SW 182nd Ave, Homestead, FL 33030, USA"
Nannie,9196,33189,1,22,F,"10200 Montego Bay Dr, Cutler Bay, FL 33189, USA"
Belle,4606,33031,1,18,F,"21341 SW 246th St, Homestead, FL 33031, USA"
Virginia,123,33187,4,25,F,"14731 SW 176th Terrace, Miami, FL 33187, USA"
Ora,4832,33032,3,20,F,"24400 SW 137th Ave, Homestead, FL 33032, USA"
Mollie,4624,33142,4,19,F,"1500 NW 23rd St, Miami, FL 33142, USA"
Flora,15430,33122,3,18,F,"3511 NW 74th Ave, Miami, FL 33122, USA"
Lottie,11636,33178,2,25,F,"9701 NW 112th Ave, Medley, FL 33178, USA"
Maggie,2886,33176,4,19,F,"9021 SW 144th St, Miami, FL 33176, USA"
Marie,14140,33161,1,21,F,"1211 NE 140th St, North Miami, FL 33161, USA"
Dora,14395,33172,4,23,F,"9786 NW 10th St, Miami, FL 33172, USA"
Daisy,9929,33134,3,18,F,"825 Almeria Ave, Coral Gables, FL 33134, USA"
Katherine,6403,33155,1,21,F,"8485 Miller Dr, Miami, FL 33155, USA"
Nora,10856,33165,4,21,F,"8710 SW 20th Terrace, Miami, FL 33165, USA"
Mamie,358,33015,4,25,F,"17921 NW 85th Ave, Hialeah, FL 33015, USA"
Rosa,15167,33055,4,20,F,"21500 NW 47th Ave, Opa-locka, FL 33055, USA"
Mildred,7036,33175,4,23,F,"2501 SW 129th Ave, Miami, FL 33175, USA"
May,3179,33031,2,21,F,"23751 SW 184th Ave, Homestead, FL 33031, USA"
Elsie,6271,33015,3,22,F,"6930 NW 177th St, Hialeah, FL 33015, USA"
Lizzie,6535,33196,1,22,F,"16022 SW 96th Terrace, Miami, FL 33196, USA"
Nancy,11609,33026,2,18,F,"11930 Pines Blvd, Pembroke Pines, FL 33026, USA"
Sallie,12130,33175,1,24,F,"3291 SW 137th Ave, Miami, FL 33175, USA"
Alma,1793,33177,4,23,F,"18403 SW 131st Ave, Miami, FL 33177, USA"
Maud,3705,33156,1,18,F,"7975 SW 108th St, Miami, FL 33156, USA"
Ruth,12952,33160,4,21,F,"552 N Island Rd, Golden Beach, FL 33160, USA"
Effie,14911,33032,4,20,F,"14201 SW 248th St, Redland, FL 33032, USA"
Lucy,7412,33186,1,25,F,"12050 SW 120th Terrace, Miami, FL 33186, USA"
Anne,7087,33187,1,20,F,"19262 SW 196th St, Miami, FL 33187, USA"
Inez,12686,33023,2,23,F,"6837 Miramar Pkwy, Miramar, FL 33023, USA"
Louisa,14611,33178,1,23,F,"11266 NW 79th Ln, Medley, FL 33178, USA"
Lou,6572,33020,3,25,F,"2321 N 21st Ave, Hollywood, FL 33020, USA"
Winifred,14299,33174,4,23,F,"2005 SW 8th St, Miami, FL 33174, USA"
Tillie,1510,33027,4,25,F,"4300 SW 125th Ln, Miramar, FL 33027, USA"
Millie,4451,33177,4,25,F,"11811 SW 168th St, Miami, FL 33177, USA"
Mable,5038,33193,2,21,F,"14730 SW 85th Terrace, Miami, FL 33193, USA"
Ina,9205,33144,1,19,F,"7365 FL-968, Miami, FL 33144, USA"
Christine,1188,33174,3,20,F,"1125 SW 107th Ave, Miami, FL 33174, USA"
Victoria,113,33183,2,20,F,"14345 SW 62nd St, Miami, FL 33183, USA"
Celia,5788,33179,3,25,F,"21491 Highland Lakes Blvd, Miami, FL 33179, USA"
Janie,15162,33317,3,24,F,"1401 SW 71st Ave, Plantation, FL 33317, USA"
Ola,13854,33156,2,25,F,"10021 SW 63rd Ave, Miami, FL 33156, USA"
Nell,632,33147,4,19,F,"2220 NW 102nd St, Miami, FL 33147, USA"
Isabelle,1151,33029,1,24,F,"17626 SW 6th Ct, Pembroke Pines, FL 33029, USA"
Essie,399,33018,2,18,F,"14201 W Okeechobee Rd, Hialeah Gardens, FL 33018, USA"
Allie,10820,33032,1,19,F,"27818 SW 112th Ave, Homestead, FL 33032, USA"
Henrietta,11076,33325,2,18,F,"2201 SW 139th Ave, Davie, FL 33325, USA"
Theresa,8559,33175,2,25,F,"14633 SW 42nd St, Miami, FL 33175, USA"
Estella,5942,33157,2,25,F,"7430 SW 173rd St, Palmetto Bay, FL 33157, USA"
Augusta,1919,33012,3,24,F,"4925 W 20th Ave, Hialeah, FL 33012, USA"
Ann,3832,33196,3,24,F,"8916 SW 150th Ct Cir W, Miami, FL 33196, USA"
Iva,6986,33183,4,18,F,"6515 SW 133rd Ct, Miami, FL 33183, USA"
Lela,13349,33055,2,24,F,"20700 NW 42nd Ave, Miami Gardens, FL 33055, USA"
Leona,12772,33186,2,23,F,"12811 SW 148th Terrace Rd, Miami, FL 33186, USA"
Ruby,15773,33186,4,21,F,"14189 SW 142nd Ave, Miami, FL 33186, USA"
Eleanor,9901,33173,1,21,F,"9445 SW 68th St, Miami, FL 33173, USA"
Sara,4486,33030,4,23,F,"637 NW 20th St, Homestead, FL 33030, USA"
Barbara,14535,33185,4,22,F,"4336 SW 148th Ave Ct, Miami, FL 33185, USA"
Maria,5198,33186,3,25,F,"12061 SW 116th St, Miami, FL 33186, USA"
Mayme,14265,33031,4,19,F,"18760 SW 236th St, Homestead, FL 33031, USA"
Sophia,5919,33170,1,25,F,"22601 SW 177th Ave, Miami, FL 33170, USA"
Beatrice,7053,33166,4,18,F,"1290 Raven Ave, Miami Springs, FL 33166, USA"
Dorothy,12736,33193,2,21,F,"6483 SW 158th Ave, Miami, FL 33193, USA"
Callie,7054,33134,3,20,F,"3780 SW 27th St, Miami, FL 33134, USA"
Josie,12621,33142,1,23,F,"3800 NW 37th Ave, Miami, FL 33142, USA"
Ada,5661,33010,1,22,F,"1545 W Okeechobee Rd, Hialeah, FL 33010, USA"
Dillie,15599,33020,1,21,F,"2835 Polk St, Hollywood, FL 33020, USA"
Elaine,2204,33031,2,25,F,"24490 SW 207th Ave, Homestead, FL 33031, USA"
Elberta,6809,33030,1,18,F,"1038 NW 4th St, Homestead, FL 33030, USA"
Elna,11675,33014,1,20,F,"1398 W 83rd St, Hialeah, FL 33014, USA"
Elza,4027,33146,1,21,F,"1020 Matanzas Ave, Coral Gables, FL 33146, USA"
Ether,16053,33016,1,19,F,"8477 Glencairn Ter, Miami Lakes, FL 33016, USA"
Eudora,8328,33167,2,19,F,"13301 NW 26th Ct, Miami, FL 33167, USA"
Felicie,11984,33024,4,23,F,"8150 NW 15th Ct, Pembroke Pines, FL 33024, USA"
Florrie,2294,33312,3,23,F,"2091 SW 30th Terrace, Fort Lauderdale, FL 33312, USA"
Frederica,9637,33157,2,22,F,"9711 W Palmetto Club Ln, Miami, FL 33157, USA"
Gena,7385,33176,2,23,F,"9292 SW 142nd St, Miami, FL 33176, USA"
Glenn,10957,33304,4,22,F,"1215 NE 2nd Ave, Fort Lauderdale, FL 33304, USA"
Hassie,3722,33122,1,25,F,"2670 NW 84th Ave, Doral, FL 33122, USA"
Hellen,7221,33138,2,18,F,"8627 NE 1st Ave, El Portal, FL 33138, USA"
Ivey,11638,33172,4,19,F,"53 NW 108th Ave, Doral, FL 33172, USA"
Izora,11345,33133,4,23,F,"3495 Via Abitare Way, Miami, FL 33133, USA"
Jodie,11676,33165,1,21,F,"4100 SW 97th Pl, Miami, FL 33165, USA"
Corene,12508,33014,3,24,F,"6625 Eagle Nest Ln, Miami Lakes, FL 33014, USA"
Alla,7033,33155,4,18,F,"6338 SW 42nd Terrace, Miami, FL 33155, USA"
Alphonsine,3607,33183,4,23,F,"5705 SW 142nd Ave, Miami, FL 33183, USA"
Anner,6440,33187,3,25,F,"20501 SW 162nd Ave, Miami, FL 33187, USA"
Ardelia,10136,33496,4,23,F,"8311 Springlake Dr, Boca Raton, FL 33496, USA"
Argie,9468,33029,4,18,F,"17941 SW 41st St, Miramar, FL 33029, USA"
Arkie,6342,33027,1,23,F,"13083 SW 28th St, Miramar, FL 33027, USA"
Arlie,15887,33018,3,24,F,"8823 NW 110th St, Hialeah, FL 33018, USA"
Bert,4522,33324,3,24,F,"740 Conchshell Pl, Plantation, FL 33324, USA"
Biddie,4828,33186,1,19,F,"14520 SW 108th St, Miami, FL 33186, USA"
Bobbie,10027,33167,1,20,F,"2140 NW 132nd St, Miami, FL 33167, USA"
Caddie,9512,33031,2,24,F,"27440 SW 187th Ave, Homestead, FL 33031, USA"
Cammie,3435,33054,4,25,F,"2238 NW 135th Terrace, Opa-locka, FL 33054, USA"
Cappie,13038,33175,1,23,F,"2898 SW 145th Ave, Miami, FL 33175, USA"
Caro,1233,33184,1,20,F,"14180 SW 8th St, Miami, FL 33184, USA"
Laney,12293,33326,3,18,F,"753 Crescent Way, Weston, FL 33326, USA"
Lassie,4502,33156,3,19,F,"6400 SW 126th Street Rd, Miami, FL 33156, USA"
Nellie,7288,33156,1,25,F,"12100 SW 64th Ave, Miami, FL 33156, USA"
Ethel,6279,33183,4,22,F,"6400 Kendale Lakes Cir, Miami, FL 33183, USA"
Ella,3972,33056,3,22,F,"2060 NW 204th St, Miami Gardens, FL 33056, USA"
Laura,6054,33031,1,18,F,"27055 SW 179th Ave, Homestead, FL 33031, USA"
Cora,4812,33178,1,23,F,"11645-55 NW 50th Terrace, Doral, FL 33178, USA"
Pearl,15450,33332,2,21,F,"3794 Pine Lake Dr, Weston, FL 33332, USA"
Lillian,13507,33143,2,21,F,"611 San Juan Dr, Coral Gables, FL 33143, USA"
Gertrude,861,33175,4,24,F,"2391 SW 145th Ave, Miami, FL 33175, USA"
Rose,9656,33133,2,20,F,"11 Samana Dr, Miami, FL 33133, USA"
Mattie,12039,33170,2,24,F,"17455 SW 216th St, Miami, FL 33170, USA"
Helen,222,33144,4,24,F,"1515 SW 82nd Pl, Miami, FL 33144, USA"
Myrtle,2831,33122,4,25,F,"2355 NW 70th Ave, Miami, FL 33122, USA"
Edna,1864,33135,2,20,F,"2255 SW 7th St, Miami, FL 33135, USA"
Julia,8881,33023,2,25,F,"7121 SW 10th Ct, Pembroke Pines, FL 33023, USA"
Lula,9297,33178,3,18,F,"8870 NW 36th St, Doral, FL 33178, USA"
Lillie,4196,33013,3,24,F,"432 E 29th St, Hialeah, FL 33013, USA"
Catherine,883,33305,1,24,F,"549 NE 21st Ct, Wilton Manors, FL 33305, USA"
Sarah,7853,33025,4,21,F,"11782 SW 16th St, Pembroke Pines, FL 33025, USA"
Grace,3157,33055,3,20,F,"4600 NW 178th St, Miami Gardens, FL 33055, USA"
Leonia,4773,33033,1,18,F,"28020 SW 152nd Ave, Homestead, FL 33033, USA"
Lockie,3275,33056,4,19,F,"3351 NW 190th St, Miami Gardens, FL 33056, USA"
Lossie,10569,33331,3,24,F,"16925 Stratford Ct, Southwest Ranches, FL 33331, USA"
Lota,12923,33316,2,18,F,"1771 SE 9th St, Fort Lauderdale, FL 33316, USA"
Madora,7468,33028,4,24,F,"380 NW 166th Ave, Pembroke Pines, FL 33028, USA"
Malissie,238,33177,3,24,F,"20032 SW 122nd Ave, Miami, FL 33177, USA"
Manie,8001,33166,4,25,F,"7875 NW 77th Ave, Medley, FL 33166, USA"
Marianita,14886,33311,2,18,F,"476 NW 35th Ave, Lauderhill, FL 33311, USA"
Mary,4051,33169,1,23,F,"1230 NW 200th St, Miami, FL 33169, USA"
Anna,13674,33328,2,20,F,"3752 Churchill Downs Dr, Davie, FL 33328, USA"
Emma,1098,33031,4,20,F,"21973 SW 262nd St, Homestead, FL 33031, USA"
Elizabeth,15295,33032,3,23,F,"24351 SW 140th Ave, Homestead, FL 33032, USA"
Margaret,1364,33134,4,18,F,"406 Giralda Ave, Coral Gables, FL 33134, USA"
Clara,4586,33170,2,22,F,"23100 SW 142nd Ave, Miami, FL 33170, USA"
Bertha,8776,33177,3,21,F,"11831 SW 180th St, Miami, FL 33177, USA"
Annie,3043,33157,2,23,F,"10210 SW 173rd St, Miami, FL 33157, USA"
Alice,9676,33161,3,22,F,"1050 NE 107th St, Miami, FL 33161, USA"
Mattye,2791,33027,2,25,F,"16549 SW 36th St, Miramar, FL 33027, USA"
Gina,9428,33018,3,21,F,"11455 NW 114th Ln, Hialeah Gardens, FL 33018, USA"
Ester,10281,33018,2,18,F,"3350 W 103rd Terrace, Hialeah, FL 33018, USA"
Adelia,15510,33126,2,24,F,"1255 NW 72nd Ave, Miami, FL 33126, USA"
Dorothea,6406,33028,2,20,F,"13933 NW 11th Pl, Pembroke Pines, FL 33028, USA"
Molly,6834,33142,4,22,F,"1983 NW 51st Terrace, Miami, FL 33142, USA"
Sudie,10244,33133,4,18,F,"2438 SW 25th Terrace, Miami, FL 33133, USA"
Ava,5116,33187,3,20,F,"19090 SW 187th Ave, Miami, FL 33187, USA"
Charity,12780,33023,3,20,F,"6505 Mayo St, Hollywood, FL 33023, USA"
Letha,11500,33147,1,19,F,"1470 NW 84th St, Miami, FL 33147, USA"
Veronica,13985,33156,2,20,F,"6301 SW 110th St, Miami, FL 33156, USA"
Blanch,14324,33157,4,21,F,"9379 SW 185th St, Cutler Bay, FL 33157, USA"
Bridget,3260,33142,2,18,F,"4510 NW 32nd Ave, Miami, FL 33142, USA"
Georgianna,9518,33176,3,25,F,"11225 SW 109th Ave, Miami, FL 33176, USA"
Maybelle,15304,33013,2,24,F,"53 FL-953, Hialeah, FL 33013, USA"
Anita,1999,33179,2,24,F,"19650 Presidential Way, Miami, FL 33179, USA"
Ernestine,437,33161,4,19,F,"14850 NE 7th Ct, Miami, FL 33161, USA"
Evie,14052,33186,1,22,F,"11851 SW 94th St, Miami, FL 33186, USA"
Leora,5169,33150,4,19,F,"675 NW 97th St, Miami, FL 33150, USA"
